Name,Filter,Object,ExposureMode,UT,Grism
NCrd170356.fits,H,M57 5,frames 10.0 10, TCS UTC at start ( 3h:18m:45.0s)               ,OPEN
NCrd170357.fits,H,sky 5,frames 10.0 10, TCS UTC at start ( 3h:21m:43.0s)               ,OPEN
NCrd170358.fits,H,M57 6,frames 10.0 10, TCS UTC at start ( 3h:24m:46.0s)               ,OPEN
NCrd170359.fits,H,sky 6,frames 10.0 10, TCS UTC at start (  3h:27m:1.0s)               ,OPEN
NCrd170360.fits,H2 2122,M57 1,frames 10.0 6, TCS UTC at start (  3h:33m:4.0s)               ,OPEN
NCrd170361.fits,H2 2122,sky 1,frames 10.0 6, TCS UTC at start ( 3h:34m:42.0s)               ,OPEN
NCrd170362.fits,H2 2122,M57 2,frames 10.0 6, TCS UTC at start ( 3h:36m:27.0s)               ,OPEN
NCrd170363.fits,H2 2122,sky 2,frames 10.0 6, TCS UTC at start ( 3h:37m:53.0s)               ,OPEN
NCrd170364.fits,H2 2122,M57 3,frames 10.0 6, TCS UTC at start ( 3h:39m:56.0s)               ,OPEN
NCrd170365.fits,H2 2122,sky 3,frames 10.0 6, TCS UTC at start ( 3h:41m:33.0s)               ,OPEN
NCrd170366.fits,H2 2122,M57 4,frames 10.0 6, TCS UTC at start ( 3h:43m:29.0s)               ,OPEN
NCrd170367.fits,H2 2122,sky 4,frames 10.0 6, TCS UTC at start (  3h:45m:0.0s)               ,OPEN
NCrd170368.fits,H2 2122,M57 5,frames 10.0 6, TCS UTC at start ( 3h:46m:34.0s)               ,OPEN
NCrd170369.fits,H2 2122,sky 5,frames 10.0 6, TCS UTC at start ( 3h:48m:27.0s)               ,OPEN
NCrd170370.fits,H2 2122,M57 6,frames 10.0 6, TCS UTC at start ( 3h:49m:58.0s)               ,OPEN
NCrd170371.fits,H2 2122,sky 6,frames 10.0 6, TCS UTC at start ( 3h:51m:31.0s)               ,OPEN
NCrd170372.fits,Ks,hp_std p135 1,expose 3.0, TCS UTC at start ( 3h:56m:38.0s)               ,OPEN
NCrd170373.fits,Ks,hp_std p90 1,expose 3.0, TCS UTC at start ( 3h:56m:59.0s)               ,OPEN
NCrd170374.fits,Ks,hp_std p45 1,expose 3.0, TCS UTC at start ( 3h:57m:20.0s)               ,OPEN
NCrd170375.fits,Ks,hp_std p0 1,expose 3.0, TCS UTC at start ( 3h:57m:40.0s)               ,OPEN
NCrd170376.fits,Ks,hp_std p135 2,expose 3.0, TCS UTC at start ( 3h:58m:30.0s)               ,OPEN
NCrd170377.fits,Ks,hp_std p90 2,expose 3.0, TCS UTC at start ( 3h:58m:51.0s)               ,OPEN
NCrd170378.fits,Ks,hp_std p45 2,expose 3.0, TCS UTC at start ( 3h:59m:14.0s)               ,OPEN
