Name,Filter,Object,ExposureMode,UT
NCzc250193.fits,K,dfra-10.0-6 4,dframes 10.0 6, TCS UTC at start ( 6h:48m:22.0s)               
NCzc250194.fits,K,dfra-10.0-6 5,dframes 10.0 6, TCS UTC at start ( 6h:49m:32.0s)               
NCzc250195.fits,K,dfra-10.0-6 6,dframes 10.0 6, TCS UTC at start ( 6h:50m:42.0s)               
NCzc250196.fits,K,dfra-30.0-10 1,dframes 30.0 10, TCS UTC at start ( 6h:51m:54.0s)               
NCzc250197.fits,K,dfra-30.0-10 2,dframes 30.0 10, TCS UTC at start ( 6h:57m:21.0s)               
NCzc250198.fits,K,dfra-30.0-10 3,dframes 30.0 10, TCS UTC at start (  7h:2m:49.0s)               
NCzc250199.fits,K,dfra-30.0-10 4,dframes 30.0 10, TCS UTC at start (  7h:8m:16.0s)               
NCzc250200.fits,K,dfra-30.0-10 5,dframes 30.0 10, TCS UTC at start ( 7h:13m:44.0s)               
NCzc250201.fits,K,dfra-30.0-10 6,dframes 30.0 10, TCS UTC at start ( 7h:19m:11.0s)               
NCzc250202.fits,K,dfra-6.0-10 1,dframes 6.0 10, TCS UTC at start ( 7h:24m:39.0s)               
NCzc250203.fits,K,dfra-6.0-10 2,dframes 6.0 10, TCS UTC at start ( 7h:25m:51.0s)               
NCzc250204.fits,K,dfra-6.0-10 3,dframes 6.0 10, TCS UTC at start (  7h:27m:2.0s)               
NCzc250205.fits,K,dfra-6.0-10 4,dframes 6.0 10, TCS UTC at start ( 7h:28m:12.0s)               
NCzc250206.fits,K,dfra-6.0-10 5,dframes 6.0 10, TCS UTC at start ( 7h:29m:23.0s)               
NCzc250207.fits,K,dfra-6.0-10 6,dframes 6.0 10, TCS UTC at start ( 7h:30m:34.0s)               
NCzc250208.fits,K,dfra-60.0-10 1,dframes 60.0 10, TCS UTC at start ( 7h:31m:46.0s)               
NCzc250209.fits,K,dfra-60.0-10 2,dframes 60.0 10, TCS UTC at start ( 7h:42m:29.0s)               
NCzc250210.fits,K,dfra-60.0-10 3,dframes 60.0 10, TCS UTC at start ( 7h:53m:13.0s)               
NCzc250211.fits,K,dfra-60.0-10 4,dframes 60.0 10, TCS UTC at start (  8h:3m:57.0s)               
NCzc250212.fits,K,dfra-60.0-10 5,dframes 60.0 10, TCS UTC at start ( 8h:14m:42.0s)               
NCzc250213.fits,K,dfra-60.0-10 6,dframes 60.0 10, TCS UTC at start ( 8h:25m:26.0s)               
