Name,Filter,Object,ExposureMode,UT
NCza230814.fits,J,dfra-3.6-2 5,dframes 3.6 2, TCS UTC at start ( 7h:18m:51.0s)               
NCza230815.fits,J,dfra-3.6-2 6,dframes 3.6 2, TCS UTC at start (  7h:19m:8.0s)               
NCza230816.fits,J,dfra-30.0-10 1,dframes 30.0 10, TCS UTC at start ( 7h:19m:26.0s)               
NCza230817.fits,J,dfra-30.0-10 2,dframes 30.0 10, TCS UTC at start ( 7h:24m:53.0s)               
NCza230818.fits,J,dfra-30.0-10 3,dframes 30.0 10, TCS UTC at start ( 7h:30m:21.0s)               
NCza230819.fits,J,dfra-30.0-10 4,dframes 30.0 10, TCS UTC at start ( 7h:35m:48.0s)               
NCza230820.fits,J,dfra-30.0-10 5,dframes 30.0 10, TCS UTC at start ( 7h:41m:17.0s)               
NCza230821.fits,J,dfra-30.0-10 6,dframes 30.0 10, TCS UTC at start ( 7h:46m:44.0s)               
NCza230822.fits,J,dfra-4.2-10 1,dframes 4.2 10, TCS UTC at start ( 7h:52m:13.0s)               
NCza230823.fits,J,dfra-4.2-10 2,dframes 4.2 10, TCS UTC at start (  7h:53m:8.0s)               
NCza230824.fits,J,dfra-4.2-10 3,dframes 4.2 10, TCS UTC at start (  7h:54m:5.0s)               
NCza230825.fits,J,dfra-4.2-10 4,dframes 4.2 10, TCS UTC at start (  7h:55m:1.0s)               
NCza230826.fits,J,dfra-4.2-10 5,dframes 4.2 10, TCS UTC at start ( 7h:55m:57.0s)               
NCza230827.fits,J,dfra-4.2-10 6,dframes 4.2 10, TCS UTC at start ( 7h:56m:54.0s)               
NCza230828.fits,J,dfra-40.0-10 1,dframes 40.0 10, TCS UTC at start ( 7h:57m:51.0s)               
NCza230829.fits,J,dfra-40.0-10 2,dframes 40.0 10, TCS UTC at start (  8h:4m:58.0s)               
NCza230830.fits,J,dfra-40.0-10 3,dframes 40.0 10, TCS UTC at start (  8h:12m:6.0s)               
NCza230831.fits,J,dfra-40.0-10 4,dframes 40.0 10, TCS UTC at start ( 8h:19m:14.0s)               
NCza230832.fits,J,dfra-40.0-10 5,dframes 40.0 10, TCS UTC at start ( 8h:26m:22.0s)               
NCza230833.fits,J,dfra-40.0-10 6,dframes 40.0 10, TCS UTC at start ( 8h:33m:30.0s)               
NCza230834.fits,J,dfra-5.0-2 1,dframes 5.0 2, TCS UTC at start ( 8h:40m:38.0s)               
NCza230835.fits,J,dfra-5.0-2 2,dframes 5.0 2, TCS UTC at start ( 8h:40m:57.0s)               
NCza230836.fits,J,dfra-5.0-2 3,dframes 5.0 2, TCS UTC at start ( 8h:41m:15.0s)               
NCza230837.fits,J,dfra-5.0-2 4,dframes 5.0 2, TCS UTC at start ( 8h:41m:33.0s)               
NCza230838.fits,J,dfra-5.0-2 5,dframes 5.0 2, TCS UTC at start ( 8h:41m:51.0s)               
NCza230839.fits,J,dfra-5.0-2 6,dframes 5.0 2, TCS UTC at start ( 8h:42m:10.0s)               
NCza230840.fits,J,dfra-6.0-10 1,dframes 6.0 10, TCS UTC at start ( 8h:42m:29.0s)               
NCza230841.fits,J,dfra-6.0-10 2,dframes 6.0 10, TCS UTC at start ( 8h:43m:40.0s)               
NCza230842.fits,J,dfra-6.0-10 3,dframes 6.0 10, TCS UTC at start ( 8h:44m:51.0s)               
NCza230843.fits,J,dfra-6.0-10 4,dframes 6.0 10, TCS UTC at start (  8h:46m:2.0s)               
NCza230844.fits,J,dfra-6.0-10 5,dframes 6.0 10, TCS UTC at start ( 8h:47m:13.0s)               
NCza230845.fits,J,dfra-6.0-10 6,dframes 6.0 10, TCS UTC at start ( 8h:48m:24.0s)               
NCza230846.fits,J,mdar-10.0-3 1,mdark 10.0 3   1/3, TCS UTC at start ( 8h:49m:34.0s)               
NCza230847.fits,J,mdar-10.0-3 1,mdark 10.0 3   2/3, TCS UTC at start ( 8h:49m:55.0s)               
NCza230848.fits,J,mdar-10.0-3 1,mdark 10.0 3   3/3, TCS UTC at start ( 8h:50m:15.0s)               
NCza230849.fits,J,mdar-10.0-3 1,mdark 10.0 3, TCS UTC at start ( 8h:50m:36.0s)               
NCza230850.fits,J,mdar-10.0-3 2,mdark 10.0 3   1/3, TCS UTC at start ( 8h:50m:40.0s)               
NCza230851.fits,J,mdar-10.0-3 2,mdark 10.0 3   2/3, TCS UTC at start (  8h:51m:0.0s)               
NCza230852.fits,J,mdar-10.0-3 2,mdark 10.0 3   3/3, TCS UTC at start ( 8h:51m:22.0s)               
NCza230853.fits,J,mdar-10.0-3 2,mdark 10.0 3, TCS UTC at start ( 8h:51m:42.0s)               
NCza230854.fits,J,mdar-10.0-3 3,mdark 10.0 3   1/3, TCS UTC at start ( 8h:51m:46.0s)               
NCza230855.fits,J,mdar-10.0-3 3,mdark 10.0 3   2/3, TCS UTC at start (  8h:52m:7.0s)               
NCza230856.fits,J,mdar-10.0-3 3,mdark 10.0 3   3/3, TCS UTC at start ( 8h:52m:27.0s)               
NCza230857.fits,J,mdar-10.0-3 3,mdark 10.0 3, TCS UTC at start ( 8h:52m:48.0s)               
NCza230858.fits,J,mdar-10.0-3 4,mdark 10.0 3   1/3, TCS UTC at start ( 8h:52m:52.0s)               
NCza230859.fits,J,mdar-10.0-3 4,mdark 10.0 3   2/3, TCS UTC at start ( 8h:53m:12.0s)               
NCza230860.fits,J,mdar-10.0-3 4,mdark 10.0 3   3/3, TCS UTC at start ( 8h:53m:33.0s)               
NCza230861.fits,J,mdar-10.0-3 4,mdark 10.0 3, TCS UTC at start ( 8h:53m:54.0s)               
NCza230862.fits,J,mdar-10.0-3 5,mdark 10.0 3   1/3, TCS UTC at start ( 8h:53m:57.0s)               
NCza230863.fits,J,mdar-10.0-3 5,mdark 10.0 3   2/3, TCS UTC at start ( 8h:54m:18.0s)               
NCza230864.fits,J,mdar-10.0-3 5,mdark 10.0 3   3/3, TCS UTC at start ( 8h:54m:39.0s)               
NCza230865.fits,J,mdar-10.0-3 5,mdark 10.0 3, TCS UTC at start ( 8h:54m:59.0s)               
NCza230866.fits,J,mdar-10.0-3 6,mdark 10.0 3   1/3, TCS UTC at start (  8h:55m:2.0s)               
NCza230867.fits,J,mdar-10.0-3 6,mdark 10.0 3   2/3, TCS UTC at start ( 8h:55m:23.0s)               
NCza230868.fits,J,mdar-10.0-3 6,mdark 10.0 3   3/3, TCS UTC at start ( 8h:55m:44.0s)               
NCza230869.fits,J,mdar-10.0-3 6,mdark 10.0 3, TCS UTC at start (  8h:56m:5.0s)               
NCza230870.fits,J,mdar-20.0-2 1,mdark 20.0 2   1/2, TCS UTC at start (  8h:56m:8.0s)               
NCza230871.fits,J,mdar-20.0-2 1,mdark 20.0 2   2/2, TCS UTC at start ( 8h:56m:39.0s)               
NCza230872.fits,J,mdar-20.0-2 1,mdark 20.0 2, TCS UTC at start ( 8h:57m:10.0s)               
NCza230873.fits,J,mdar-20.0-2 2,mdark 20.0 2   1/2, TCS UTC at start ( 8h:57m:14.0s)               
NCza230874.fits,J,mdar-20.0-2 2,mdark 20.0 2   2/2, TCS UTC at start ( 8h:57m:43.0s)               
NCza230875.fits,J,mdar-20.0-2 2,mdark 20.0 2, TCS UTC at start ( 8h:58m:14.0s)               
NCza230876.fits,J,mdar-20.0-2 3,mdark 20.0 2   1/2, TCS UTC at start ( 8h:58m:19.0s)               
NCza230877.fits,J,mdar-20.0-2 3,mdark 20.0 2   2/2, TCS UTC at start ( 8h:58m:48.0s)               
NCza230878.fits,J,mdar-20.0-2 3,mdark 20.0 2, TCS UTC at start ( 8h:59m:18.0s)               
NCza230879.fits,J,mdar-20.0-2 4,mdark 20.0 2   1/2, TCS UTC at start ( 8h:59m:22.0s)               
NCza230880.fits,J,mdar-20.0-2 4,mdark 20.0 2   2/2, TCS UTC at start ( 8h:59m:52.0s)               
NCza230881.fits,J,mdar-20.0-2 4,mdark 20.0 2, TCS UTC at start (  9h:0m:23.0s)               
NCza230882.fits,J,mdar-20.0-2 5,mdark 20.0 2   1/2, TCS UTC at start (  9h:0m:26.0s)               
NCza230883.fits,J,mdar-20.0-2 5,mdark 20.0 2   2/2, TCS UTC at start (  9h:0m:57.0s)               
