Name,Filter,Object,ExposureMode,UT,Grism
NCrk110106.fits,J,drk 42s,mdark 42.0 5   3/5, TCS UTC at start (16h:43m:58.0s)               ,
NCrk110107.fits,J,drk 42s,mdark 42.0 5   4/5, TCS UTC at start (16h:44m:53.0s)               ,
NCrk110108.fits,J,drk 42s,mdark 42.0 5   5/5, TCS UTC at start (16h:45m:51.0s)               ,
NCrk110109.fits,J,drk 42s,mdark 42.0 5, TCS UTC at start (16h:46m:48.0s)               ,
NCrk110110.fits,J,lin 2s,mexp 2.0 5   1/5, TCS UTC at start ( 16h:47m:0.0s)               ,
NCrk110111.fits,J,lin 2s,mexp 2.0 5   2/5, TCS UTC at start (16h:47m:20.0s)               ,
NCrk110112.fits,J,lin 2s,mexp 2.0 5   3/5, TCS UTC at start (16h:47m:36.0s)               ,
NCrk110113.fits,J,lin 2s,mexp 2.0 5   4/5, TCS UTC at start (16h:47m:50.0s)               ,
NCrk110114.fits,J,lin 2s,mexp 2.0 5   5/5, TCS UTC at start ( 16h:48m:5.0s)               ,
NCrk110115.fits,J,lin 2s,mexp 2.0 5, TCS UTC at start (16h:48m:20.0s)               ,
NCrk110116.fits,J,drk 2s,mdark 2.0 5   1/5, TCS UTC at start (16h:48m:32.0s)               ,
NCrk110117.fits,J,drk 2s,mdark 2.0 5   2/5, TCS UTC at start (16h:48m:46.0s)               ,
NCrk110118.fits,J,drk 2s,mdark 2.0 5   3/5, TCS UTC at start ( 16h:49m:3.0s)               ,
NCrk110119.fits,J,drk 2s,mdark 2.0 5   4/5, TCS UTC at start (16h:49m:20.0s)               ,
NCrk110120.fits,J,drk 2s,mdark 2.0 5   5/5, TCS UTC at start (16h:49m:34.0s)               ,
NCrk110121.fits,J,drk 2s,mdark 2.0 5, TCS UTC at start (16h:49m:48.0s)               ,
NCrk110122.fits,J,lin 30s,mexp 30.0 5   1/5, TCS UTC at start ( 16h:50m:1.0s)               ,
NCrk110123.fits,J,lin 30s,mexp 30.0 5   2/5, TCS UTC at start (16h:50m:49.0s)               ,
NCrk110124.fits,J,lin 30s,mexp 30.0 5   3/5, TCS UTC at start (16h:51m:35.0s)               ,
NCrk110125.fits,J,lin 30s,mexp 30.0 5   4/5, TCS UTC at start (16h:52m:19.0s)               ,
NCrk110126.fits,J,lin 30s,mexp 30.0 5   5/5, TCS UTC at start ( 16h:53m:3.0s)               ,
NCrk110127.fits,J,lin 30s,mexp 30.0 5, TCS UTC at start (16h:53m:45.0s)               ,
NCrk110128.fits,J,,expose 2.0, TCS UTC at start ( 16h:57m:2.0s)               ,
NCrk110129.fits,J,test,expose 2.0, TCS UTC at start (17h:22m:19.0s)               ,
NCrk110130.fits,J,Lintest drk 0s,mdark 0.0 5   1/5, TCS UTC at start (17h:23m:13.0s)               ,
NCrk110131.fits,J,Lintest drk 0s,mdark 0.0 5   2/5, TCS UTC at start (17h:23m:28.0s)               ,
NCrk110132.fits,J,Lintest drk 0s,mdark 0.0 5   3/5, TCS UTC at start (17h:23m:43.0s)               ,
NCrk110133.fits,J,Lintest drk 0s,mdark 0.0 5   4/5, TCS UTC at start (17h:23m:57.0s)               ,
NCrk110134.fits,J,Lintest drk 0s,mdark 0.0 5   5/5, TCS UTC at start (17h:24m:12.0s)               ,
NCrk110135.fits,J,Lintest drk 0s,mdark 0.0 5, TCS UTC at start (17h:24m:27.0s)               ,
NCrk110136.fits,J,lin 0.5s,mexp 0.5 5   1/5, TCS UTC at start (17h:24m:31.0s)               ,
