0.387673;2.494e-40;1.738e-10;7158.7684;9;7;2;2;4.0;3.0
0.387898;6.742e-39;6.045e-09;7158.7684;7;7;2;2;3.0;3.0
0.388068;8.747e-39;6.103e-09;7158.7680;9;9;2;2;4.0;4.0
0.388297;2.502e-40;2.246e-10;7158.7680;7;9;2;2;3.0;4.0
0.390150;1.197e-74;3.583e-09;24201.4620;20;20;8;8;;
0.403830;2.408e-60;5.357e-10;17096.8846;28;28;5;5;;
0.417641;4.221e-33;2.152e-10;3763.1103;9;7;1;1;4.0;3.0
0.417756;1.140e-31;7.474e-09;3763.1103;7;7;1;1;3.0;3.0
0.417962;1.480e-31;7.551e-09;3763.1100;9;9;1;1;4.0;4.0
0.418077;4.230e-33;2.775e-10;3763.1100;7;9;1;1;3.0;4.0
0.426460;1.298e-68;2.974e-13;19752.6618;116;112;2;2;;
0.442740;1.869e-69;5.448e-09;21801.4356;20;20;7;7;;
0.448108;1.575e-25;2.616e-10;201.9327;9;7;0;0;4.0;3.0
0.448131;4.253e-24;9.084e-09;201.9327;7;7;0;0;3.0;3.0
0.448357;5.518e-24;9.171e-09;201.9324;9;9;0;0;4.0;4.0
0.448381;1.577e-25;3.370e-10;201.9324;7;9;0;0;3.0;4.0
0.449900;3.667e-54;7.639e-10;14218.8272;28;28;4;4;;
0.494170;6.405e-64;7.784e-09;19230.2359;20;20;6;6;;
0.497950;1.215e-47;1.069e-09;11178.2711;28;28;3;3;;
0.537590;1.864e-79;5.756e-09;26547.9313;24;24;9;9;;
0.541900;9.568e-77;8.723e-10;24933.3508;32;32;8;8;;
0.544260;4.737e-58;1.054e-08;16492.5505;20;20;5;5;;
0.545920;4.365e-43;1.571e-11;7975.3513;13;15;2;2;6.0;7.0
0.547135;4.560e-41;1.425e-09;7975.3513;15;15;2;2;7.0;7.0
0.548449;3.965e-41;1.433e-09;7975.3487;13;13;2;2;6.0;6.0
0.549664;4.425e-43;1.390e-11;7975.3487;15;13;2;2;7.0;6.0
0.594230;7.579e-52;1.382e-08;13591.1290;20;20;4;4;;
0.597311;6.777e-36;2.091e-11;4609.1358;13;15;1;1;6.0;7.0
0.598486;7.076e-34;1.895e-09;4609.1358;15;15;1;1;7.0;7.0
0.598930;1.233e-71;1.273e-09;22569.8079;32;32;7;7;;
0.599865;6.152e-34;1.906e-09;4609.1333;13;13;1;1;6.0;6.0
0.601040;6.860e-36;1.845e-11;4609.1333;15;13;1;1;7.0;6.0
0.623910;1.274e-74;9.680e-09;24333.9243;24;24;8;8;;
0.643760;2.604e-45;1.751e-08;10527.1858;20;20;3;3;;
0.649927;2.305e-28;2.717e-11;1077.8603;13;15;0;0;6.0;7.0
0.651071;2.406e-26;2.463e-09;1077.8603;15;15;0;0;7.0;7.0
0.652515;2.091e-26;2.475e-09;1077.8577;13;13;0;0;6.0;6.0
0.653658;2.331e-28;2.395e-11;1077.8577;15;13;0;0;7.0;6.0
0.662160;3.650e-66;1.848e-09;20033.9535;32;32;6;6;;
0.692947;1.926e-40;3.916e-10;7300.6989;11;9;2;2;5.0;4.0
0.693513;8.489e-39;2.112e-08;7300.6989;9;9;2;2;4.0;4.0
0.693770;1.042e-38;2.121e-08;7300.6981;11;11;2;2;5.0;5.0
0.694358;1.934e-40;4.816e-10;7300.6981;9;11;2;2;4.0;5.0
0.705130;1.904e-69;1.454e-08;21941.2189;24;24;7;7;;
0.722310;1.662e-58;2.000e-12;15225.7368;104;108;1;1;;
0.729750;2.357e-60;2.589e-09;17330.9669;32;32;5;5;;
0.734580;2.744e-60;1.727e-12;16051.6153;112;108;1;1;;
0.743247;3.140e-33;4.778e-10;3910.6354;11;9;1;1;5.0;4.0
0.743734;1.383e-31;2.574e-08;3910.6354;9;9;1;1;4.0;4.0
0.744010;1.699e-31;2.588e-08;3910.6347;11;11;1;1;5.0;5.0
0.744501;3.150e-33;5.869e-10;3910.6347;9;11;1;1;4.0;5.0
0.784000;6.248e-64;2.051e-08;19377.1070;24;24;6;6;;
0.786940;1.597e-79;1.269e-08;26695.5451;28;28;9;9;;
0.787050;6.313e-52;2.411e-12;12137.4412;108;104;0;0;;
0.787680;4.189e-50;2.930e-12;11298.5306;100;104;0;0;;
0.794059;1.128e-25;5.725e-10;355.1219;11;9;0;0;5.0;4.0
0.794470;4.969e-24;3.084e-08;355.1219;9;9;0;0;4.0;4.0
0.794771;6.103e-24;3.100e-08;355.1212;11;11;0;0;5.0;5.0
0.795181;1.131e-25;7.026e-10;355.1212;9;11;0;0;4.0;5.0
0.800330;3.310e-54;3.536e-09;14463.9661;32;32;4;4;;
0.835700;7.212e-77;2.686e-09;25157.8389;36;36;8;8;;
0.860140;4.433e-58;2.746e-08;16646.3707;24;24;5;5;;
0.872540;1.009e-47;4.731e-09;11434.4444;32;32;3;3;;
0.901610;3.407e-66;3.463e-12;18942.8145;108;112;2;2;;
0.910410;1.034e-74;2.107e-08;24490.7336;28;28;8;8;;
0.923720;8.755e-72;3.940e-09;22807.5584;36;36;7;7;;
0.929800;4.283e-77;2.251e-12;24040.0310;124;120;3;3;;
0.935640;6.800e-52;3.555e-08;13751.8301;24;24;4;4;;
0.944300;2.558e-43;5.064e-11;8242.6039;15;17;2;2;7.0;8.0
0.945588;3.463e-41;6.057e-09;8242.6039;17;17;2;2;8.0;8.0
0.946848;3.061e-41;6.076e-09;8242.6014;15;15;2;2;7.0;7.0
0.948136;2.578e-43;4.521e-11;8242.6014;17;15;2;2;8.0;7.0
1.010120;2.243e-45;4.457e-08;10694.7542;24;24;3;3;;
1.016530;2.406e-66;5.624e-09;20284.5278;36;36;6;6;;
1.019372;3.658e-36;6.467e-11;4887.5709;15;17;1;1;7.0;8.0
1.020615;4.952e-34;7.734e-09;4887.5709;17;17;1;1;8.0;8.0
1.021938;4.376e-34;7.755e-09;4887.5683;15;15;1;1;7.0;7.0
1.023182;3.685e-36;5.769e-11;4887.5683;17;15;1;1;8.0;7.0
